codigo_dane,numero_hogares,hacinamiento_promedio,densidad_habitacional,tasa_acceso_a_cocina,tasa_acceso_a_agua_para_cocinar,year
19300,6576,0.8934521999188998,0.9474301144921567,1.0,0.992852798053528,2021
19300,6576,0.8934521999188998,0.9474301144921567,1.0,0.992852798053528,2022
19300,6576,0.8934521999188998,0.9474301144921567,1.0,0.992852798053528,2023
19318,6635,1.7400672038925311,1.0586437101043085,0.9983421250941974,0.9888470233609645,2019
19318,6635,1.7400672038925311,1.0586437101043085,0.9983421250941974,0.9888470233609645,2020
19318,6635,1.7400672038925311,1.0586437101043085,0.9983421250941974,0.9888470233609645,2021
19318,6635,1.7400672038925311,1.0586437101043085,0.9983421250941974,0.9888470233609645,2022
19318,6635,1.7400672038925311,1.0586437101043085,0.9983421250941974,0.9888470233609645,2023
19355,9103,1.3098774677703229,0.9399182770831073,0.9996704383170384,0.9864879709985719,2019
19355,9103,1.3098774677703229,0.9399182770831073,0.9996704383170384,0.9864879709985719,2020
