codigo_dane,year_of_incident,indiciados_fisc_amenazas,indiciados_fisc_delitos_sexuales,indiciados_fisc_desaparicion_forzada,indiciados_fisc_desplazamiento,indiciados_fisc_estafa,indiciados_fisc_extorsion,indiciados_fisc_hurto,indiciados_fisc_dih,indiciados_fisc_reclutamiento_ilicito,indiciados_fisc_violencia_intrafamiliar,indiciados_fisc_corrupcion,indiciados_fisc_homicidios,indiciados_fisc_lesiones_personales,indiciados_fisc_secuestro,indiciados_fisc_otros_delitos
19824,2019,7.0,15.0,0.0,0.0,6.0,4.0,18.0,0.0,0.0,19.0,4.0,6.0,78.0,3.0,71.0
19824,2020,3.0,8.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,13.0,0.0,3.0,29.0,0.0,48.0
19824,2021,10.0,10.0,0.0,0.0,9.0,2.0,12.0,0.0,0.0,12.0,3.0,4.0,25.0,1.0,38.0
19824,2022,3.0,12.0,0.0,0.0,16.0,2.0,10.0,0.0,0.0,8.0,6.0,2.0,62.0,1.0,84.0
19824,2023,9.0,6.0,0.0,0.0,3.0,3.0,16.0,0.0,0.0,24.0,6.0,5.0,59.0,0.0,68.0
19845,2019,14.0,16.0,0.0,3.0,6.0,1.0,44.0,0.0,0.0,51.0,12.0,15.0,100.0,0.0,160.0
19845,2020,8.0,8.0,0.0,0.0,8.0,1.0,33.0,0.0,0.0,58.0,9.0,26.0,34.0,0.0,159.0
19845,2021,17.0,17.0,0.0,0.0,11.0,0.0,40.0,0.0,0.0,39.0,10.0,7.0,56.0,0.0,156.0
19845,2022,23.0,8.0,0.0,0.0,602.0,1.0,203.0,0.0,0.0,40.0,8.0,26.0,92.0,2.0,331.0
19845,2023,30.0,11.0,0.0,2.0,7.0,0.0,29.0,0.0,0.0,46.0,24.0,16.0,113.0,0.0,221.0
