codigo_dane,year_of_incident,indiciados_fisc_amenazas,indiciados_fisc_delitos_sexuales,indiciados_fisc_desaparicion_forzada,indiciados_fisc_desplazamiento,indiciados_fisc_estafa,indiciados_fisc_extorsion,indiciados_fisc_hurto,indiciados_fisc_dih,indiciados_fisc_reclutamiento_ilicito,indiciados_fisc_violencia_intrafamiliar,indiciados_fisc_corrupcion,indiciados_fisc_homicidios,indiciados_fisc_lesiones_personales,indiciados_fisc_secuestro,indiciados_fisc_otros_delitos
19585,2021,8.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,11.0,0.0,3.0,22.0,0.0,56.0
19585,2022,2.0,4.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,12.0,6.0,7.0,32.0,0.0,38.0
19585,2023,1.0,6.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,11.0,0.0,2.0,23.0,5.0,49.0
19622,2019,1.0,10.0,0.0,0.0,2.0,2.0,14.0,6.0,0.0,15.0,1.0,6.0,40.0,0.0,64.0
19622,2020,1.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,0.0,9.0,27.0,0.0,72.0
19622,2021,2.0,4.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,27.0,0.0,2.0,26.0,0.0,67.0
19622,2022,2.0,5.0,0.0,0.0,3.0,1.0,11.0,0.0,1.0,17.0,0.0,9.0,37.0,0.0,106.0
19622,2023,11.0,10.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,8.0,18.0,0.0,50.0
19693,2019,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,15.0,1.0,22.0
19693,2020,0.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,1.0,0.0,6.0,0.0,21.0
19693,2021,2.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,4.0,8.0,0.0,18.0
19693,2022,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,28.0
19693,2023,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,14.0,0.0,13.0
19698,2019,134.0,105.0,0.0,2.0,83.0,7.0,206.0,2.0,0.0,362.0,42.0,173.0,418.0,46.0,1254.0
19698,2020,66.0,72.0,1.0,3.0,57.0,13.0,170.0,1.0,0.0,230.0,36.0,53.0,253.0,1.0,871.0
19698,2021,101.0,93.0,3.0,15.0,100.0,10.0,164.0,3.0,1.0,190.0,165.0,84.0,287.0,14.0,1077.0
19698,2022,127.0,97.0,0.0,6.0,125.0,19.0,207.0,0.0,2.0,293.0,30.0,99.0,333.0,1.0,1205.0
19698,2023,173.0,64.0,0.0,47.0,90.0,54.0,237.0,2.0,4.0,261.0,34.0,89.0,312.0,57.0,1162.0
19701,2019,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,28.0
19701,2020,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,40.0
19701,2021,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,45.0
19701,2022,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,1.0,8.0,1.0,91.0
19701,2023,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,13.0
19743,2019,5.0,10.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,35.0,2.0,2.0,70.0,0.0,90.0
19743,2020,2.0,4.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,47.0,8.0,0.0,27.0,0.0,41.0
19743,2021,4.0,10.0,0.0,0.0,15.0,1.0,6.0,0.0,0.0,37.0,8.0,2.0,62.0,4.0,78.0
19743,2022,10.0,6.0,0.0,0.0,16.0,4.0,17.0,0.0,0.0,36.0,2.0,8.0,52.0,0.0,85.0
19743,2023,16.0,19.0,0.0,0.0,14.0,0.0,10.0,0.0,0.0,30.0,2.0,4.0,97.0,0.0,128.0
19760,2019,1.0,5.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,11.0,1.0,1.0,24.0,0.0,49.0
19760,2020,10.0,7.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,18.0,0.0,2.0,48.0,4.0,15.0
19760,2021,12.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,32.0,2.0,2.0,5.0,0.0,25.0
19760,2022,5.0,11.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,14.0,0.0,3.0,18.0,0.0,39.0
19760,2023,0.0,9.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,15.0,0.0,1.0,11.0,0.0,39.0
19780,2019,31.0,7.0,1.0,2.0,3.0,0.0,7.0,0.0,0.0,18.0,4.0,20.0,71.0,0.0,87.0
