codigo_dane,total_personas,tasa_alfabetismo,tasa_analfabetismo,year
19455,28662,0.8650477984788222,0.06109134045077105,2021
19455,28662,0.8650477984788222,0.06109134045077105,2022
19455,28662,0.8650477984788222,0.06109134045077105,2023
19473,29737,0.7945320644315162,0.10148972660322157,2019
19473,29737,0.7945320644315162,0.10148972660322157,2020
19473,29737,0.7945320644315162,0.10148972660322157,2021
19473,29737,0.7945320644315162,0.10148972660322157,2022
19473,29737,0.7945320644315162,0.10148972660322157,2023
19513,8763,0.8729887024991442,0.05431929704439119,2019
19513,8763,0.8729887024991442,0.05431929704439119,2020
19513,8763,0.8729887024991442,0.05431929704439119,2021
19513,8763,0.8729887024991442,0.05431929704439119,2022
19513,8763,0.8729887024991442,0.05431929704439119,2023
19517,37666,0.7777571284447512,0.09406361174534063,2019
19517,37666,0.7777571284447512,0.09406361174534063,2020
