dane_code,year,poblacion_5_16,tasa_matricula_5_16,cobertura_neta,cobertura_bruta,desercion,aprobacion
19130,2022,8922.0,74.66,74.66,82.17,3.1,92.51
19130,2023,8903.0,73.29,73.29,81.57,3.32,91.19
19137,2019,10262.0,84.09,84.09,92.83,2.3,89.1
19137,2020,10328.0,86.59,86.59,95.6,0.94,92.59
19137,2021,10286.0,90.33,90.33,99.52,2.79,81.94
19137,2022,10159.0,91.3,91.3,100.81,3.27,84.3
19137,2023,10161.0,89.8,89.77,98.12,5.5,84.39
19142,2019,6382.0,91.3,91.3,122.61,1.55,91.75
19142,2020,6291.0,90.57,90.57,105.67,1.16,92.17
19142,2021,6251.0,90.96,90.96,104.56,1.73,88.94
19142,2022,6201.0,90.02,90.02,108.34,2.61,89.36
19142,2023,6201.0,88.73,88.73,105.77,1.9,91.15
19212,2019,5206.0,96.24,96.24,107.38,3.6,90.77
19212,2020,5139.0,95.84,95.84,102.86,3.47,91.38
19212,2021,5105.0,95.73,95.73,104.84,5.22,87.9
19212,2022,5153.0,92.99,92.99,102.0,3.91,91.89
19212,2023,5139.0,92.61,92.61,100.35,3.87,92.07
19256,2019,10267.0,82.57,82.57,93.68,3.05,88.96
19256,2020,10067.0,84.86,84.86,91.84,1.17,90.03
19256,2021,998.0,87.36,87.36,94.04,4.37,87.12
19256,2022,10130.0,84.43,84.43,92.69,3.93,90.53
19256,2023,10078.0,81.65,81.65,91.49,4.71,90.2
19290,2019,982.0,102.04,102.04,113.54,2.18,92.97
19290,2020,973.0,104.83,104.83,112.33,0.82,93.6
19290,2021,966.0,99.28,99.28,105.18,7.19,85.14
19290,2022,947.0,97.15,97.15,107.5,4.15,90.9
19290,2023,943.0,92.05,92.05,102.12,4.85,89.21
19300,2019,4010.0,77.51,77.51,95.04,1.14,94.33
19300,2020,3976.0,77.69,77.69,91.45,0.47,97.54
19300,2021,3945.0,81.17,81.17,93.16,0.96,94.41
19300,2022,3846.0,79.85,79.85,90.09,3.4,90.33
19300,2023,3834.0,76.97,76.97,85.79,1.08,96.45
19318,2019,7553.0,91.51,91.51,122.53,2.1,95.1
19318,2020,7471.0,89.76,89.76,114.38,0.75,98.3
19318,2021,7447.0,90.96,90.96,121.7,0.73,98.81
19318,2022,7555.0,83.69,83.69,108.18,4.59,92.57
19318,2023,7558.0,78.87,78.87,101.79,5.09,87.74
19355,2019,7194.0,89.64,89.64,102.72,1.87,89.97
19355,2020,7153.0,90.88,90.88,99.58,2.52,85.47
19355,2021,7122.0,92.52,92.52,102.84,3.99,85.5
19355,2022,7175.0,90.56,90.56,100.59,3.7,87.73
19355,2023,7176.0,88.88,88.88,98.17,3.23,86.3
19364,2019,4484.0,78.93,78.93,93.73,1.85,90.03
19364,2020,4499.0,78.62,78.62,86.69,1.59,96.29
19364,2021,4483.0,79.59,79.59,91.43,3.2,87.62
19364,2022,4455.0,78.77,78.77,89.0,3.46,88.96
19364,2023,4453.0,75.5,75.5,82.93,3.63,90.03
19392,2019,1881.0,85.38,85.38,130.62,1.65,90.01
19392,2020,1844.0,86.82,86.82,98.37,0.8,92.88
19392,2021,1826.0,88.44,88.44,97.32,2.53,89.53
19392,2022,1845.0,84.44,84.44,97.51,1.98,91.54
19392,2023,1832.0,84.33,84.33,97.93,2.27,92.22
19397,2019,4583.0,57.19,57.19,69.8,3.44,83.58
19397,2020,4517.0,56.45,56.45,65.29,3.25,90.91
19397,2021,448.0,57.77,57.77,69.11,4.14,89.16
19397,2022,4521.0,54.19,54.19,61.58,3.75,88.08
19397,2023,4506.0,51.2,51.2,58.06,4.13,87.97
19418,2019,5418.0,88.32,88.32,111.15,2.39,89.74
19418,2020,5399.0,88.29,88.29,103.93,1.91,95.39
19418,2021,5389.0,92.34,92.34,109.54,0.8,90.46
19418,2022,5431.0,90.22,90.22,105.91,4.25,87.79
