year_of_incident,dept_mpio_code,victim_fisc_amenazas,victim_fisc_delitos_sexuales,victim_fisc_desaparicion_forzada,victim_fisc_desplazamiento,victim_fisc_estafa,victim_fisc_extorsion,victim_fisc_hurto,victim_fisc_personas_bienes_dih,victim_fisc_reclutamiento_ilicito,victim_fisc_violencia_intrafamiliar,victim_fisc_corrupcion,victim_fisc_homicidios,victim_fisc_lesiones_personales,victim_fisc_secuestro,victim_fisc_otros_delitos
2019,19364,24.0,17.0,0.0,8.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,6.0,5.0,0.0,22.0
2019,19392,19.0,13.0,0.0,7.0,1.0,6.0,66.0,0.0,0.0,22.0,1.0,11.0,22.0,3.0,40.0
2019,19397,18.0,7.0,0.0,11.0,3.0,4.0,17.0,0.0,0.0,17.0,4.0,20.0,58.0,0.0,137.0
2019,19418,3.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,14.0,4.0,5.0,6.0
2019,19450,33.0,19.0,2.0,10.0,6.0,10.0,74.0,1.0,0.0,22.0,3.0,34.0,57.0,3.0,42.0
2019,19455,148.0,22.0,10.0,11.0,11.0,7.0,123.0,1.0,1.0,42.0,8.0,56.0,94.0,2.0,134.0
2019,19473,82.0,21.0,42.0,88.0,3.0,16.0,34.0,2.0,1.0,18.0,1.0,25.0,22.0,3.0,57.0
2019,19513,17.0,9.0,0.0,2.0,7.0,1.0,32.0,0.0,0.0,14.0,3.0,21.0,22.0,1.0,12.0
2019,19517,45.0,18.0,2.0,18.0,8.0,7.0,20.0,3.0,2.0,8.0,2.0,40.0,28.0,0.0,42.0
2019,19532,46.0,33.0,4.0,13.0,13.0,11.0,131.0,0.0,3.0,52.0,7.0,93.0,250.0,2.0,118.0
2019,19533,56.0,12.0,0.0,79.0,0.0,0.0,3.0,0.0,47.0,5.0,0.0,155.0,1.0,31.0,350.0
2019,19548,34.0,47.0,1.0,8.0,14.0,8.0,173.0,0.0,0.0,98.0,8.0,40.0,135.0,7.0,139.0
2019,19573,128.0,49.0,5.0,11.0,26.0,9.0,624.0,0.0,0.0,90.0,18.0,117.0,267.0,5.0,255.0
2019,19585,7.0,6.0,0.0,1.0,0.0,7.0,40.0,0.0,0.0,6.0,1.0,16.0,19.0,5.0,36.0
2019,19622,21.0,15.0,3.0,2.0,3.0,10.0,40.0,0.0,0.0,13.0,0.0,38.0,54.0,0.0,35.0
2019,19693,2.0,5.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,1.0,11.0,1.0,16.0
2019,19698,395.0,152.0,12.0,54.0,87.0,81.0,892.0,2.0,0.0,325.0,14.0,298.0,466.0,19.0,739.0
2019,19701,14.0,5.0,1.0,20.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,13.0,10.0,0.0,7.0
2019,19743,16.0,12.0,1.0,8.0,4.0,9.0,30.0,0.0,2.0,34.0,0.0,11.0,67.0,2.0,60.0
2019,19760,12.0,9.0,1.0,7.0,3.0,4.0,23.0,0.0,0.0,11.0,0.0,6.0,23.0,0.0,28.0
2019,19780,137.0,9.0,2.0,45.0,4.0,4.0,28.0,1.0,27.0,16.0,0.0,63.0,57.0,1.0,78.0
2019,19785,10.0,3.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,2.0,9.0,4.0,0.0,7.0
2019,19807,61.0,46.0,2.0,20.0,37.0,16.0,193.0,0.0,0.0,67.0,8.0,40.0,157.0,5.0,186.0
2019,19809,68.0,13.0,1.0,109.0,0.0,5.0,6.0,0.0,1.0,4.0,0.0,11.0,18.0,0.0,12.0
2019,19821,103.0,41.0,4.0,7.0,3.0,7.0,17.0,0.0,2.0,74.0,0.0,41.0,37.0,3.0,49.0
2019,19824,33.0,15.0,1.0,3.0,4.0,9.0,50.0,0.0,0.0,17.0,0.0,17.0,77.0,0.0,63.0
2019,19845,28.0,19.0,0.0,4.0,19.0,1.0,268.0,0.0,0.0,47.0,4.0,51.0,102.0,1.0,77.0
2020,19001,444.0,370.0,16.0,19.0,410.0,196.0,2890.0,0.0,3.0,1457.0,135.0,333.0,1271.0,26.0,2485.0
