codigo_dane,vict_por_declarac_uv,vict_ubicadas_uv,vict_en_atencion_uv,vict_por_eventos_uv,year
19355,2085.0,2603.0,2304.0,7297.0,2021
19355,2085.0,2603.0,2304.0,7297.0,2022
19355,2085.0,2603.0,2304.0,7297.0,2023
19364,12132.0,8877.0,7079.0,20207.0,2019
19364,12132.0,8877.0,7079.0,20207.0,2020
19364,12132.0,8877.0,7079.0,20207.0,2021
19364,12132.0,8877.0,7079.0,20207.0,2022
19364,12132.0,8877.0,7079.0,20207.0,2023
19392,1693.0,2932.0,2464.0,6232.0,2019
19392,1693.0,2932.0,2464.0,6232.0,2020
19392,1693.0,2932.0,2464.0,6232.0,2021
19392,1693.0,2932.0,2464.0,6232.0,2022
19392,1693.0,2932.0,2464.0,6232.0,2023
19397,1037.0,5144.0,4650.0,17474.0,2019
19397,1037.0,5144.0,4650.0,17474.0,2020
19397,1037.0,5144.0,4650.0,17474.0,2021
19397,1037.0,5144.0,4650.0,17474.0,2022
19397,1037.0,5144.0,4650.0,17474.0,2023
19418,14689.0,13090.0,10658.0,33796.0,2019
19418,14689.0,13090.0,10658.0,33796.0,2020
19418,14689.0,13090.0,10658.0,33796.0,2021
19418,14689.0,13090.0,10658.0,33796.0,2022
19418,14689.0,13090.0,10658.0,33796.0,2023
19450,8361.0,9569.0,8242.0,14362.0,2019
19450,8361.0,9569.0,8242.0,14362.0,2020
19450,8361.0,9569.0,8242.0,14362.0,2021
19450,8361.0,9569.0,8242.0,14362.0,2022
19450,8361.0,9569.0,8242.0,14362.0,2023
19455,10121.0,10413.0,9008.0,15316.0,2019
19455,10121.0,10413.0,9008.0,15316.0,2020
19455,10121.0,10413.0,9008.0,15316.0,2021
19455,10121.0,10413.0,9008.0,15316.0,2022
19455,10121.0,10413.0,9008.0,15316.0,2023
19473,13520.0,14492.0,13349.0,20281.0,2019
19473,13520.0,14492.0,13349.0,20281.0,2020
19473,13520.0,14492.0,13349.0,20281.0,2021
19473,13520.0,14492.0,13349.0,20281.0,2022
19473,13520.0,14492.0,13349.0,20281.0,2023
19513,804.0,1121.0,997.0,1402.0,2019
19513,804.0,1121.0,997.0,1402.0,2020
19513,804.0,1121.0,997.0,1402.0,2021
19513,804.0,1121.0,997.0,1402.0,2022
19513,804.0,1121.0,997.0,1402.0,2023
19517,3058.0,3026.0,2686.0,11436.0,2019
19517,3058.0,3026.0,2686.0,11436.0,2020
19517,3058.0,3026.0,2686.0,11436.0,2021
19517,3058.0,3026.0,2686.0,11436.0,2022
19517,3058.0,3026.0,2686.0,11436.0,2023
19532,8012.0,13417.0,12094.0,25500.0,2019
19532,8012.0,13417.0,12094.0,25500.0,2020
19532,8012.0,13417.0,12094.0,25500.0,2021
19532,8012.0,13417.0,12094.0,25500.0,2022
19532,8012.0,13417.0,12094.0,25500.0,2023
19533,2638.0,5489.0,5031.0,14114.0,2019
19533,2638.0,5489.0,5031.0,14114.0,2020
19533,2638.0,5489.0,5031.0,14114.0,2021
19533,2638.0,5489.0,5031.0,14114.0,2022
19533,2638.0,5489.0,5031.0,14114.0,2023
19548,4950.0,6724.0,5918.0,5510.0,2019
19548,4950.0,6724.0,5918.0,5510.0,2020
19548,4950.0,6724.0,5918.0,5510.0,2021
19548,4950.0,6724.0,5918.0,5510.0,2022
19548,4950.0,6724.0,5918.0,5510.0,2023
19573,3434.0,4968.0,4090.0,6130.0,2019
19573,3434.0,4968.0,4090.0,6130.0,2020
19573,3434.0,4968.0,4090.0,6130.0,2021
19573,3434.0,4968.0,4090.0,6130.0,2022
19573,3434.0,4968.0,4090.0,6130.0,2023
19585,827.0,1141.0,947.0,3860.0,2019
19585,827.0,1141.0,947.0,3860.0,2020
19585,827.0,1141.0,947.0,3860.0,2021
