codigo_dane,anio,violencia_intrafamiliar_ml,violencia_interpersonal_ml,lesiones_accidentales_ml,presunto_delit_sexual_ml
19701,2021,1,0,0,0
19701,2022,0,2,0,0
19701,2023,1,2,0,0
19743,2019,12,19,0,0
19743,2020,15,12,0,0
19743,2021,19,31,0,0
19743,2022,29,31,1,0
19743,2023,42,53,2,0
19760,2019,0,13,0,0
19760,2020,0,4,0,0
19760,2021,4,2,0,0
19760,2022,5,7,0,0
19760,2023,6,4,0,0
19780,2019,10,48,2,0
19780,2020,3,5,0,0
19780,2021,10,8,2,0
19780,2022,7,9,0,0
19780,2023,8,9,1,0
19785,2019,0,1,0,0
19785,2020,2,5,0,0
19785,2021,1,2,0,0
19785,2022,3,4,0,0
19785,2023,3,2,0,0
19807,2019,30,51,0,0
19807,2020,7,26,0,0
19807,2021,30,39,1,0
19807,2022,26,36,1,0
19807,2023,34,38,0,0
19809,2019,0,2,0,0
19809,2020,1,1,0,0
19809,2021,1,3,0,0
19809,2022,1,3,0,0
19809,2023,0,1,0,0
19821,2019,3,2,1,0
19821,2020,1,1,0,0
19821,2021,1,4,0,0
19821,2022,2,3,0,0
19821,2023,3,3,0,0
19824,2019,19,24,0,0
19824,2020,5,6,0,0
19824,2021,3,7,0,0
19824,2022,4,23,0,0
19824,2023,4,23,1,0
19845,2019,21,43,0,0
19845,2020,2,13,0,0
19845,2021,10,10,1,0
19845,2022,20,19,3,0
19845,2023,20,41,2,0
