codigo_dane,ano,amenazas_casos_fiscalia,delitos_sexuales_casos_fiscalia,desaparicion_forzada_casos_fiscalia,desplazamiento_casos_fiscalia,estafa_casos_fiscalia,extorsion_casos_fiscalia,hurto_casos_fiscalia,personas_bienes_dih_casos_fiscalia,reclutamiento_ilicito_casos_fiscalia,violencia_intrafamiliar_casos_fiscalia,corrupcion_casos_fiscalia,homicidios_casos_fiscalia,lesiones_personales_casos_fiscalia,secuestro_casos_fiscalia,otros_delitos_casos_fiscalia
19142,2023,11,16,3,5,9,5,42,3,3,11,3,17,19,3,110
19212,2019,11,12,4,8,2,5,29,5,5,6,1,13,17,2,93
19212,2020,9,18,1,6,6,3,22,4,2,14,2,15,11,9,126
19212,2021,8,10,7,9,3,7,32,5,6,7,2,12,13,6,113
19212,2022,10,9,3,6,4,10,25,4,4,5,1,12,11,1,99
19212,2023,11,5,5,6,6,6,34,4,3,5,6,11,12,4,99
19256,2019,18,21,6,6,6,7,47,4,4,14,9,14,27,2,133
19256,2020,6,18,5,14,5,8,27,3,3,11,4,34,17,9,147
19256,2021,9,32,6,6,7,6,32,3,6,9,7,13,19,1,108
19256,2022,14,16,4,7,8,14,46,4,4,8,5,13,18,5,125
19256,2023,8,18,3,6,8,8,39,4,3,6,9,16,17,1,112
19290,2019,4,2,2,0,1,3,5,0,0,2,0,5,4,0,16
19290,2020,2,6,0,1,1,1,3,0,0,2,0,1,3,2,12
19290,2021,2,3,0,0,0,1,6,0,0,2,2,9,5,0,19
19290,2022,3,5,0,1,3,0,6,0,0,1,2,3,4,0,10
19290,2023,5,5,1,2,2,3,7,0,0,2,7,3,3,1,15
19300,2019,7,8,0,0,6,2,31,1,0,11,4,10,15,0,74
19300,2020,12,9,1,3,6,0,34,2,0,13,3,12,16,1,94
19300,2021,6,11,0,3,3,1,34,1,0,14,1,11,15,1,69
19300,2022,10,9,0,1,9,3,36,2,0,13,0,10,14,0,72
19300,2023,12,7,2,5,5,5,40,1,1,9,2,13,23,1,82
19318,2019,12,9,3,6,2,7,10,1,1,7,9,17,12,2,79
19318,2020,6,12,6,4,5,3,5,1,5,8,4,9,8,2,44
19318,2021,6,20,5,8,5,4,4,1,2,11,4,8,6,0,48
19318,2022,11,7,3,10,4,4,10,2,3,10,3,7,13,1,43
19318,2023,6,11,1,5,6,5,9,0,1,9,2,5,5,0,44
19355,2019,8,12,1,3,3,3,14,2,1,7,2,11,16,0,40
19355,2020,10,20,0,4,2,4,14,1,4,6,2,10,5,0,34
19355,2021,7,20,0,4,5,6,16,1,1,10,0,9,11,4,43
19355,2022,13,24,2,2,6,8,18,3,2,8,0,10,6,4,45
19355,2023,8,10,1,5,6,9,21,2,4,8,3,6,11,2,35
19364,2019,5,12,0,3,2,1,4,3,1,3,2,3,1,0,28
19364,2020,9,6,1,4,5,5,6,2,0,7,0,3,3,1,41
19364,2021,7,8,1,5,5,3,4,2,1,6,0,4,7,0,23
19364,2022,7,4,0,2,3,3,6,1,0,2,1,5,1,1,40
19364,2023,7,2,0,3,6,1,8,2,1,4,1,6,10,1,40
19392,2019,7,14,0,2,1,5,25,0,0,8,5,8,9,3,27
19392,2020,6,8,1,1,3,3,15,0,0,6,3,6,5,1,34
19392,2021,4,8,0,0,3,0,13,0,0,8,2,7,11,1,46
19392,2022,5,5,0,4,3,2,23,0,0,3,1,5,6,0,38
19392,2023,6,7,0,2,2,2,13,0,1,2,2,6,9,2,30
19397,2019,6,7,0,3,3,4,13,0,0,5,3,10,12,0,47
19397,2020,6,4,0,4,4,2,12,0,0,11,0,3,12,0,37
19397,2021,5,5,0,3,3,2,8,0,0,9,3,4,11,1,38
19397,2022,9,4,1,3,0,4,14,2,0,7,2,3,7,0,34
19397,2023,8,7,0,3,4,4,12,2,0,6,1,8,10,0,54
19418,2019,2,2,1,1,1,0,2,0,0,2,4,11,4,3,32
19418,2020,4,5,4,5,1,0,3,1,2,2,4,7,3,1,19
19418,2021,4,3,4,5,1,1,4,1,1,4,1,4,1,1,35
19418,2022,5,4,1,5,0,2,2,0,1,3,2,4,0,2,15
19418,2023,4,3,1,3,1,2,5,2,0,3,1,3,1,2,14
19450,2019,8,15,2,4,3,4,34,2,0,8,4,8,12,1,50
19450,2020,8,7,1,3,3,6,24,1,0,11,4,8,7,0,68
19450,2021,6,6,3,4,4,5,22,0,0,11,8,7,17,0,71
19450,2022,7,7,2,5,6,3,27,2,0,6,2,10,13,0,78
19450,2023,5,8,1,5,5,6,29,2,0,3,2,7,9,1,66
19455,2019,12,20,4,4,4,5,41,4,1,10,10,13,26,2,104
19455,2020,17,14,1,4,10,9,37,3,1,16,6,24,16,7,164
19455,2021,17,17,4,7,9,5,43,2,2,20,6,11,12,1,117
19455,2022,9,14,2,6,13,11,31,1,2,8,9,9,16,2,98
19455,2023,12,16,4,4,6,6,42,3,1,8,6,10,21,2,110
19473,2019,6,18,3,8,1,9,22,2,2,7,2,6,14,3,68
19473,2020,7,12,2,4,2,3,14,3,1,6,2,8,6,0,63
19473,2021,8,14,1,9,3,4,20,0,3,12,2,11,6,1,46
19473,2022,10,24,1,6,9,5,20,0,1,5,3,11,3,1,51
19473,2023,8,26,2,5,8,4,24,0,2,9,3,6,8,3,56
19513,2019,7,9,0,1,2,1,17,0,0,9,4,7,12,1,27
19513,2020,11,4,0,0,5,0,12,0,0,4,2,6,14,2,47
19513,2021,7,3,0,0,2,0,19,2,0,9,1,6,9,1,39
19513,2022,11,5,1,6,3,5,22,3,1,1,0,4,11,2,47
19513,2023,11,5,1,4,4,1,25,0,0,1,2,6,8,1,46
19517,2019,11,18,2,5,4,5,12,4,2,4,4,11,10,0,48
19517,2020,10,15,2,6,0,6,10,1,5,10,1,14,10,0,36
19517,2021,8,15,1,3,4,4,16,0,3,10,1,12,8,3,38
19517,2022,6,21,0,5,4,8,17,2,3,5,0,8,10,2,36
19517,2023,7,24,0,5,4,6,25,3,3,4,4,14,9,3,43
19532,2019,8,14,4,3,5,8,50,4,2,12,14,19,29,2,146
19532,2020,8,17,3,4,8,6,40,2,3,14,12,13,19,0,126
19532,2021,9,20,2,2,8,10,36,4,2,18,7,18,19,1,116
19532,2022,9,27,1,3,12,5,53,3,3,16,13,23,20,3,150
19532,2023,7,11,3,4,7,9,47,6,2,10,5,23,26,7,112
19533,2019,8,9,1,7,0,0,7,1,4,3,4,17,1,2,72
19533,2020,6,9,0,5,3,0,5,1,0,4,11,6,4,0,33
19533,2021,4,14,3,3,2,1,5,0,0,6,2,3,6,0,32
19533,2022,11,4,1,5,2,0,8,0,0,4,0,4,2,0,28
19533,2023,9,8,0,4,4,1,9,0,0,2,3,8,3,0,35
19548,2019,7,31,1,2,6,4,58,1,0,15,26,11,26,4,131
19548,2020,5,25,0,1,8,7,47,2,2,20,8,9,16,1,137
19548,2021,8,30,1,4,9,7,40,0,2,22,7,16,19,1,130
19548,2022,6,24,0,5,13,13,54,1,0,15,6,8,24,2,112
19548,2023,9,25,2,3,12,8,52,0,1,12,10,6,21,6,117
19573,2019,11,30,3,6,10,8,93,0,0,18,19,33,39,5,195
19573,2020,16,25,2,3,15,4,68,0,0,20,13,26,36,2,186
19573,2021,19,25,1,5,8,4,87,0,0,18,10,20,29,1,160
19573,2022,19,26,1,7,12,12,82,1,0,20,8,25,28,6,176
19573,2023,18,16,1,6,12,7,77,2,0,18,13,15,28,2,166
19585,2019,5,6,0,1,0,3,22,0,0,4,2,6,13,3,38
19585,2020,4,5,1,0,2,1,13,0,0,2,1,3,5,1,23
19585,2021,5,2,0,0,2,2,14,0,0,6,0,3,7,0,32
19585,2022,3,5,0,1,7,4,19,0,0,4,2,10,10,2,37
19585,2023,3,7,0,2,2,5,29,0,0,4,0,6,12,2,33
19622,2019,6,14,3,1,2,7,26,1,0,6,1,7,15,0,70
19622,2020,3,8,0,1,3,1,13,1,0,9,1,9,14,0,61
19622,2021,6,5,1,1,4,3,21,0,0,11,0,4,13,0,55
19622,2022,4,7,1,3,3,4,24,1,2,4,0,5,15,0,51
19622,2023,7,7,1,3,4,3,23,3,1,2,1,6,12,2,44
19693,2019,1,4,1,1,0,2,4,0,0,3,6,1,7,1,18
19693,2020,2,4,1,1,0,1,3,1,0,6,3,3,4,1,19
19693,2021,2,2,0,1,1,2,6,0,0,2,2,4,2,0,18
19693,2022,4,2,0,2,0,0,5,0,0,4,3,2,3,0,17
19693,2023,3,2,1,3,3,0,8,0,1,6,3,2,5,1,12
19698,2019,23,85,6,9,20,10,121,2,1,31,28,53,70,16,327
19698,2020,13,49,8,4,20,14,116,1,1,32,26,31,45,1,310
19698,2021,12,72,5,11,17,22,108,2,4,29,32,32,44,7,294
19698,2022,18,58,5,8,22,22,133,3,2,31,20,31,48,4,293
19698,2023,21,47,3,10,19,20,127,5,3,17,23,27,38,13,305
19701,2019,3,5,2,2,0,4,3,1,0,0,3,4,2,0,23
19701,2020,1,1,1,2,1,1,7,1,0,4,0,4,5,0,28
19701,2021,3,1,0,3,2,1,6,1,0,4,2,3,3,0,37
19701,2022,3,5,0,1,1,3,6,1,0,3,2,3,8,1,40
19701,2023,5,4,0,2,0,2,11,2,0,3,0,2,4,0,18
19743,2019,6,11,1,2,2,3,22,2,1,10,2,7,17,2,59
19743,2020,4,6,0,0,9,4,16,1,0,18,3,1,15,0,37
19743,2021,6,8,0,0,6,3,17,1,2,17,6,3,14,2,52
19743,2022,7,10,1,1,9,4,17,1,0,7,5,11,10,0,57
19743,2023,9,19,1,3,8,4,25,3,1,6,2,3,19,2,63
19760,2019,7,8,1,2,4,3,17,0,0,5,1,4,10,1,39
19760,2020,8,9,1,3,1,2,11,1,0,11,0,4,9,1,17
19760,2021,7,5,1,1,1,4,15,0,1,12,2,6,5,0,24
19760,2022,8,10,0,0,4,7,13,0,0,7,0,5,9,0,27
19760,2023,6,8,1,3,2,3,16,2,3,2,0,4,6,0,34
19780,2019,18,9,2,7,4,4,18,3,3,5,6,18,9,1,79
19780,2020,8,12,3,4,3,2,18,2,2,4,10,13,5,0,75
19780,2021,8,9,3,6,3,3,19,1,1,5,2,23,6,4,73
19780,2022,12,14,2,8,4,7,23,5,0,7,4,8,7,7,54
19780,2023,10,7,1,4,5,5,25,4,4,6,5,8,8,3,63
19785,2019,7,3,1,0,1,1,8,0,0,1,6,5,3,0,11
